Index,Time,Current
119096,2022-08-03 21:41:12.00,20.32
119097,2022-08-03 21:42:12.27,20.63
119098,2022-08-03 21:43:12.52,20.2
119099,2022-08-03 21:44:12.74,20.13
119100,2022-08-03 21:45:12.97,20.31
119101,2022-08-03 21:46:13.23,20.27
119102,2022-08-03 21:47:13.52,20.37
119103,2022-08-03 21:48:13.76,20.29
119104,2022-08-03 21:49:14.03,20.48
119105,2022-08-03 21:50:14.30,20.2
119106,2022-08-03 21:51:14.56,20.43
119107,2022-08-03 21:52:14.80,20.34
119108,2022-08-03 21:53:15.03,20.45
119109,2022-08-03 21:54:15.29,20.17
119110,2022-08-03 21:55:15.52,20.36
119111,2022-08-03 21:56:15.76,20.19
119112,2022-08-03 21:57:16.05,20.38
119113,2022-08-03 21:58:16.27,20.31
119114,2022-08-03 21:59:16.55,20.44
119115,2022-08-03 22:00:16.77,20.47
119116,2022-08-03 22:01:17.06,20.31
119117,2022-08-03 22:02:17.29,20.1
119118,2022-08-03 22:03:17.52,20.39
119119,2022-08-03 22:04:17.76,20.28
119120,2022-08-03 22:05:18.02,20.24
119121,2022-08-03 22:06:18.26,20.48
119122,2022-08-03 22:07:18.49,20.17
119123,2022-08-03 22:08:18.74,20.3
119124,2022-08-03 22:09:19.00,20.44
119125,2022-08-03 22:10:19.22,20.3
119126,2022-08-03 22:11:19.47,20.25
119127,2022-08-03 22:12:19.71,20.55
119128,2022-08-03 22:13:19.99,20.27
119129,2022-08-03 22:14:19.94,19.99
119130,2022-08-03 22:15:20.17,20.29
119131,2022-08-03 22:16:20.41,20.77
119132,2022-08-03 22:17:20.66,20.3
119133,2022-08-03 22:18:20.91,20.55
119134,2022-08-03 22:19:21.16,20.33
119135,2022-08-03 22:20:21.40,20.4
119136,2022-08-03 22:21:21.69,20.06
119137,2022-08-03 22:22:21.96,20.28
119138,2022-08-03 22:23:22.21,20.2
119139,2022-08-03 22:24:22.47,21.21
119140,2022-08-03 22:25:22.69,20.08
119141,2022-08-03 22:26:22.92,20.34
