,Month,Sunrise,-30 Time,Noon,+30 Time,Sunset
January,1,15:08:39,18:30:35,20:11:33,21:52:32,01:14:29
February,2,14:48:04,18:26:33,20:15:47,22:05:15,01:44:11
March,3,14:13:00,18:11:40,20:11:00,22:10:40,02:10:00
April,4,13:30:00,17:51:20,20:02:00,22:13:00,02:35:00
May,5,12:58:00,17:38:40,19:59:00,22:19:20,03:00:00
June,6,12:47:00,17:37:40,20:03:00,22:27:40,03:17:00
July,7,12:59:00,17:45:00,20:08:00,22:31:00,03:17:00
August,8,13:22:00,17:52:00,20:07:00,22:21:40,02:51:00
September,9,13:45:00,17:53:00,19:57:00,22:01:00,02:09:00
October,10,14:08:00,17:54:40,19:48:00,21:41:00,01:27:00
November,11,14:37:00,18:03:40,19:47:00,21:30:00,00:56:00
December,12,15:04:00,18:19:20,19:57:00,21:35:00,00:51:00
